YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
2005,-0.90,-3.90,2.30,7.00,11.30,15.40,15.70,13.40,13.20,10.60,2.30,-2.80,-1.47,6.87,14.83,8.70,7.23
2006,-2.30,-2.50,-0.30,6.10,10.90,15.00,19.80,12.10,15.50,11.70,6.40,2.70,-2.53,5.57,15.63,11.20,7.47
2007,2.20,2.90,3.60,11.20,12.10,15.10,15.50,14.90,10.30,6.80,1.00,-0.10,2.60,8.97,15.17,6.03,8.19
2008,2.50,2.70,1.60,5.30,12.70,15.00,15.50,15.70,10.20,8.50,3.60,-0.40,1.70,6.53,15.40,7.43,7.77
2009,-2.70,-1.70,0.90,10.10,12.70,12.90,16.30,17.70,13.30,7.30,6.80,-0.90,-1.60,7.90,15.63,9.13,7.77
2010,-4.60,-1.20,2.00,7.10,8.50,14.30,17.70,14.60,10.70,6.80,3.10,-2.50,-2.23,5.87,15.53,6.87,6.51
2011,-1.00,0.70,4.20,10.20,12.40,13.90,13.60,17.40,14.40,8.10,6.60,1.40,-0.93,8.93,14.97,9.70,8.17
2012,-0.80,-6.30,6.10,6.60,12.40,15.20,15.70,17.40,12.40,8.20,5.10,0.20,-1.90,8.37,16.10,8.57,7.78
2013,-1.40,-4.40,0.10,6.40,8.60,13.30,18.40,16.50,11.50,9.40,1.50,3.00,-1.87,5.03,16.07,7.47,6.67
2014,2.40,2.90,5.40,8.10,9.50,14.80,15.50,13.50,12.40,10.30,6.40,0.80,2.77,7.67,14.60,9.70,8.68
2015,0.10,-1.40,3.70,7.30,11.10,15.00,19.50,18.90,10.60,7.10,7.30,6.60,-0.17,7.37,17.80,8.33,8.33
2016,0.80,2.00,2.00,6.70,10.50,14.20,17.00,16.50,15.10,7.00,3.30,2.60,3.13,6.40,15.90,8.47,8.47
2017,-3.60,2.50,6.10,5.40,12.30,16.90,16.70,17.70,10.50,999.90,999.90,999.90,0.50,7.93,17.10,999.90,8.75
